min_TTC,THW_at_min_TTC,m_vel_LV,min_vel_LV,max_vel_LV,sd_vel_LV,m_rel_vel,sd_rel_vel,sd_abs_acc,m_THW,sd_THW,sc_start_idx,N_samples,speedLimit,temperature,baseline,driver_type,scenario,condition,road_type,driver_type_tag
-20,0.750343370553214,29.5967908502262,29.4407181996014,29.6975160672993,0.0815013791775867,1.26450250752938,0.127647112122508,0.206265704130093,0.773471304115289,0.018261513270408,13566,27,31.3,21.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-16.0945677450079,0.905419400655056,29.7743068584678,29.699749634082,29.8963342837064,0.065371955961553,1.72821791344682,0.0727932322484155,0.176532571524801,0.887251839800034,0.0223234943533908,13606,22,31.3,21.25,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.92853294631926,30.8426601427822,30.791514155414,30.9323367667211,0.0342734334228747,1.94830817716461,0.0942157520235707,0.3542155794328,1.92853294631926,0.0352736189248246,13784,28,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
6.10764296476557,1.47950538596967,23.1182293653487,19.8767643050935,25.3865605285682,1.88411288680279,3.36579344969336,1.91934685863507,1.02722802487983,2.319167103666,0.382800184441137,14756,93,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
10.4196645300089,2.1429873220112,20.6263995327344,20.3748867056772,20.8195034331341,0.142511374220888,5.68921322204648,0.108449413172242,0.858694778222137,2.45632731687284,0.192405897329938,14852,31,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.42651308783997,21.6780992030374,21.2498675407311,21.8721378411797,0.184034203475862,1.11841054697583,0.210516454758097,0.235456464561655,1.42651308783997,0.0288234085643678,15053,38,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.42256060290615,20.4670455185421,18.8252648466217,21.7100811236694,0.816807375878344,0.593141738423457,0.259470047075179,0.282046979557994,1.30755561113645,0.0857475610819338,15098,81,31.3,21.5,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.34772242300611,9.09910478270765,7.66186588135335,11.7212421811654,1.22743431040508,1.10319968665798,0.708450280858913,0.670805628983608,1.4653413734335,0.224489934301647,15239,118,31.3,21.5169491525424,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.51738914217766,13.0798463900668,12.8660771111633,13.2546501967405,0.125715855408236,0.513962056859339,0.267018032945456,0.131121244907072,1.51738914217766,0.0281174108563414,15389,22,31.3,21.75,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,1.83975843790377,14.8205276828955,13.4561127882039,15.9977571223823,0.741568490742531,0.883092235532352,0.399697964342948,0.307025404108104,1.83187818458076,0.0979340554555793,15434,151,31.3,21.75,1,1,Following_a_lead_vehicle,Baseline,All,Professional
-20,2.1568706454187,19.7496003123226,16.7189893691115,22.4151817522044,1.87103167948245,1.38828929267261,0.594008676226971,0.470793435455144,2.08319519129497,0.128770259046085,15597,216,31.3,21.8501157407407,1,1,Following_a_lead_vehicle,Baseline,All,Professional
