speed_SS;vel_lat_obj_SS;N_rel_obj_SS;rel_dist_long_rel_objs_SS;rel_dist_lat_rel_objs_SS;max_long_acc;min_long_acc;m_long_acc;min_lat_acc;max_lat_acc;m_lat_acc;dist_lan_ctr_SS;duration;lane_wid;indicator;sc_start_idx;N_samples;speedLimit;temperature;baseline;driver_type;scenario;condition;road_type;driver_type_tag
295.305.555.555.556;"[29.5305555555556;0.0562500000000021;0.0862499999999997;0.286609053611755;-1.76944444444444;NaN]";8;"[NaN;NaN;NaN;NaN;NaN;NaN;3.56197237968445;NaN]";"[NaN;3;NaN;NaN;NaN;NaN;3.56197237968445;2]";0.131250000000001;-0.293749999999999;-0.0383116883116881;-0.809999999999999;0.636249999999997;-0.116931818181818;0.286609053611755;7.7;356.197.237.968.445;0;19015;77;31.3;22;1;1;Lane_change;Baseline;All;Professional
216.944.444.444.444;"[21.6944444444444;1.9075;-0.098749999999999;0.15306943655014;-9.60555555555556;1.06414497517799]";8;"[23.0860340448337;NaN;NaN;NaN;NaN;-0.0409698130069174;3.58439934253693;NaN]";"[-1.04774801272291;1;NaN;NaN;NaN;-0.0409698130069174;3.58439934253693;7]";197.625;-0.09375;115.998.863.636.364;-0.797499999999999;0.561249999999998;-0.0758522727272729;0.15306943655014;5.5;358.439.934.253.693;1;19559;55;31.3;222.022.727.272.727;1;1;Lane_change;Baseline;All;Professional
278.972.222.222.222;"[27.8972222222222;1.45625;-0.536249999999999;0.114374816417694;-3.40277777777778;1.21672686654529]";8;"[33.9432997797621;NaN;NaN;NaN;NaN;-1.60448998822809;3.58645737171173;NaN]";"[-0.022261296593451;3;NaN;NaN;NaN;-1.60448998822809;3.58645737171173;2]";1.575;-0.568749999999998;0.463392857142857;-10.475;0.52375;-0.340395408163265;0.114374816417694;4.9;358.645.737.171.173;0;19713;49;31.3;223.762.755.102.041;1;1;Lane_change;Baseline;All;Professional
302.652.777.777.778;"[30.2652777777778;0.287500000000001;0.33625;0.349468529224396;-1.03472222222222;1.03912386187678]";8;"[31.4493723252179;25.8849616768361;0.914124074515264;-0.255862937477808;0.042348245744499;3.259482855433;3.4350494146347;25.8849616768361]";"[0.695473246077102;2;0.914124074515264;-0.255862937477808;0.042348245744499;3.259482855433;3.4350494146347;8]";0.443750000000001;-0.543749999999999;-0.0273026315789473;-0.75375;0.809999999999999;0.056529605263158;0.349468529224396;11.4;34.350.494.146.347;1;19850;114;31.3;22.5;1;1;Lane_change;Baseline;All;Professional
30.225;"[30.225;0.224999999999998;-0.58625;0.0381395816802979;-1.075;NaN]";8;"[NaN;NaN;NaN;NaN;NaN;NaN;3.52337265014648;NaN]";"[NaN;1;NaN;NaN;NaN;NaN;3.52337265014648;1]";0.643750000000001;0.0125000000000028;0.37092803030303;-145.875;12.475;-0.346496212121212;0.0381395816802979;6.6;352.337.265.014.648;0;20547;66;31.3;22.5;1;1;Lane_change;Baseline;All;Professional
304.194.444.444.444;"[30.4194444444444;-0.1875;-0.392499999999998;0.385897576808929;-0.880555555555553;NaN]";8;"[NaN;45.209907402279;1.55018989381951;-0.570923067639477;1.72502470144487;NaN;3.28710949420929;45.209907402279]";"[NaN;2;1.55018989381951;-0.570923067639477;1.72502470144487;NaN;3.28710949420929;8]";0.21875;-0.506250000000001;-0.198940677966101;-144.625;-0.0300000000000011;-0.763930084745762;0.385897576808929;5.9;328.710.949.420.929;1;20876;59;31.3;23;1;1;Lane_change;Baseline;All;Professional
305.444.444.444.444;"[30.5444444444444;0.356249999999999;-0.18;0.373533308506012;-0.755555555555553;NaN]";8;"[NaN;49.969053736518;1.66882472391106;-0.0275383992241949;-0.419218319123296;NaN;3.54865539073944;49.969053736518]";"[NaN;3;1.66882472391106;-0.0275383992241949;-0.419218319123296;NaN;3.54865539073944;10]";0.568749999999998;-0.5;0.119476744186046;-109.125;0.579999999999998;-0.151271802325581;0.373533308506012;8.6;354.865.539.073.944;0;21198;86;31.3;23.25;1;1;Lane_change;Baseline;All;Professional
309.833.333.333.333;"[30.9833333333333;0.0500000000000007;-0.0299999999999976;0.417491316795349;-0.316666666666666;NaN]";8;"[NaN;NaN;NaN;NaN;NaN;NaN;3.49358057975769;NaN]";"[NaN;2;NaN;NaN;NaN;NaN;3.49358057975769;8]";0.225000000000001;-0.449999999999999;-0.1203125;-0.63625;0.673124999999999;-0.138684210526316;0.417491316795349;7.6;349.358.057.975.769;0;21356;76;31.3;230.296.052.631.579;1;1;Lane_change;Baseline;All;Professional
299.444.444.444.444;"[29.9444444444444;0;-0.348749999999999;0.0938773155212402;-1.35555555555556;2.33678592305676]";8;"[69.9737562515329;58.5825903602392;2.00930873074071;-0.453378782112637;-0.264452072373267;3.03950849548466;3.66496562957764;58.5825903602392]";"[0.836479929436678;3;2.00930873074071;-0.453378782112637;-0.264452072373267;3.03950849548466;3.66496562957764;11]";0;-0.59375;-0.234016393442623;-10.225;0.623750000000001;-0.298063524590164;0.0938773155212402;6.1;366.496.562.957.764;0;21765;61;31.3;23.25;1;1;Lane_change;Baseline;All;Professional
287.097.222.222.222;"[28.7097222222222;0.368749999999999;-0.1175;0.00971698760986328;-2.59027777777778;1.47768865499706]";8;"[42.4240308158947;NaN;NaN;NaN;NaN;-4.46172638397849;3.61578893661499;NaN]";"[-0.378502195707217;1;NaN;NaN;NaN;-4.46172638397849;3.61578893661499;6]";0.737500000000001;0.206250000000001;0.435869565217391;-0.685000000000002;0.772499999999997;0.167346014492754;0.00971698760986328;6.9;361.578.893.661.499;0;22177;69;31.3;23.5;1;1;Lane_change;Baseline;All;Professional
314.361.111.111.111;"[31.4361111111111;-0.4375;0.46125;0.49315333366394;0.136111111111113;2.2439903249266]";8;"[70.5423291866509;NaN;NaN;NaN;NaN;3.5330461019306;3.52367877960205;NaN]";"[-0.10040847449725;3;NaN;NaN;NaN;3.5330461019306;3.52367877960205;11]";0.131249999999998;-0.518750000000001;-0.278977272727273;-0.661250000000003;110.375;0.196382575757575;0.49315333366394;6.6;352.367.877.960.205;1;22269;66;31.3;23.5;1;1;Lane_change;Baseline;All;Professional
